Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
110.06019,C00082,M-C3H4O2+H[1+],154.6,0.000113533230006624,EC00083
136.0757,C00082,M-HCOOH+H[1+],292.8,7.64667699968413e-05,EC00081
136.07587,C00082,M-HCOOH+H[1+],163.9,9.35332300002756e-05,EC00084
138.0914,C00082,M-CO2+H[1+],144.6,2.35332299780566e-05,EC00083
146.0601,C00082,M-H4O2+H[1+],155,0.000123533229981376,EC00083
146.06017,C00082,M-H4O2+H[1+],112,0.000193533229975174,EC00085
154.0862,C00082,M-CO+H[1+],147.6,2.35332299780566e-05,EC00083
154.0863,C00082,M-CO+H[1+],70.7,0.000123533229981376,EC00082
164.0704,C00082,M-H2O+H[1+],152.2,0.000176466770000161,EC00083
164.0706,C00082,M-H2O+H[1+],277.5,2.35332300064783e-05,EC00081
164.0707,C00082,M-H2O+H[1+],60.2,0.000123533229981376,EC00082
165.0546,C00082,M-NH3+H[1+],289.4,7.6466770025263e-05,EC00081
165.05469,C00082,M-NH3+H[1+],168.8,1.35332299748825e-05,EC00084
180.0665,C00082,M-H[-],126.2,0.000123533230009798,EC00085
180.0666,C00082,M-H[-],58,2.35332300064783e-05,EC00082
182.0805,C00082,M+H[1+],166.8,0.000676466770016759,EC00084
182.0808,C00082,M+H[1+],67.7,0.0003764667700068,EC00082
182.0811,C00082,M+H[1+],288.4,7.6466770025263e-05,EC00081
183.0838,C00082,M(C13)+H[1+],165.9,0.000776466770020079,EC00084
200.0916,C00082,M+H2O+H[1+],279.1,0.000176466770028583,EC00081
200.0918,C00082,M+H2O+H[1+],110.8,2.35332299780566e-05,EC00085
204.0624,C00082,M+Na[1+],285.8,0.000776466770020079,EC00081
204.0625,C00082,M+Na[1+],214.7,0.000676466770016759,EC00086
204.0632,C00082,M+Na[1+],64,2.35332299780566e-05,EC00082
129.0081,C00085,M-2H[2-],49.7,0.000526466770025991,EC00087
315.1277,C00089,M-CO+H[1+],188.2,0.000776466769991657,EC00088
325.1128,C00089,M-H2O+H[1+],194.2,7.64667699968413e-05,EC00088
341.1081,C00089,M-H[-],112.5,0.000823533230004614,EC00089
365.1053,C00089,M+Na[1+],189.1,0.000176466770028583,EC00088
381.0796,C00089,M+K[1+],188.5,0.000623533230054818,EC00088
387.1133,C00089,M+HCOO[-],118.8,0.000545000000045093,EC00089
109.0295,C00090,M-H[-],65.1,2.35332300064783e-05,EC00090
111.0441,C00090,M+H[1+],108.3,2.35332300064783e-05,EC00091
111.04412,C00090,M+H[1+],50.5,4.35332300128266e-05,EC00092
