"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Purine metabolism","80","37","37","80.927","1","1","1","100","1","1","1","1","P64","EC000316;EC000317;EC00023;EC00024;EC00025;EC00026;EC00018;EC000959;EC000960;EC000210;EC000119;EC000120;EC000121;EC000925;EC000926;EC000927;EC000928;EC000929;EC000439;EC000147;EC000148;EC000149;EC000150;EC000677;EC000678;EC000679;EC000438;EC0001269;EC000129;EC000684;EC000685;EC000683;EC000409;EC000728;EC000729;EC000261;EC000262;EC000263;EC000516;EC000701;EC000702;EC000944;EC0001181;EC0001182;EC0001183;EC000733;EC000734;EC000735;EC000458;EC000459;EC000222;EC000113;EC000250;EC000251;EC000252;EC000508;EC000509;EC000510;EC000494;EC00058;EC00059;EC00060;EC00061;EC000326;EC000327;EC00021;EC00022;EC00048;EC00049;EC00050;EC00064;EC00065;EC00066;EC00067"
"Alanine and Aspartate Metabolism","30","17","17","40.463","1","1","1","100","1","1","1","1","P65","EC00023;EC00024;EC00025;EC00026;EC00027;EC00028;EC00029;EC00018;EC00021;EC00022;EC00056;EC00057;EC000591;EC000592;EC00058;EC00059;EC00060;EC00061;EC000635;EC000783;EC00039;EC00040;EC00041;EC00036;EC00037;EC00038;EC000156;EC000157;EC000158;EC000159;EC000160;EC000289;EC000290;EC000291;EC00048;EC00049;EC00050"
"Glutathione Metabolism","19","10","10","29.527","1","1","1","100","1","1","1","1","P66","EC000743;EC000744;EC000745;EC000746;EC000747;EC000748;EC000749;EC000750;EC00023;EC00024;EC00025;EC00026;EC000126;EC000127;EC000717;EC000690;EC000691;EC000899;EC00039;EC00040;EC00041;EC0001372;EC00051;EC000497;EC000498;EC000499;EC000500"
"Keratan sulfate biosynthesis","66","3","3","3.2808","1","1","1","100","1","1","1","1","P67","EC00052;EC00030;EC00044"
"TCA cycle","31","11","11","17.498","1","1","1","100","1","1","1","1","P68","EC000155;EC00027;EC00028;EC00029;EC0001006;EC000333;EC000169;EC00036;EC00037;EC00038;EC000228;EC000229;EC00042;EC00043;EC000342;EC0001007"
"Arachidonic acid metabolism","95","51","51","37.182","1","1","1","100","1","1","1","1","P69","EC00023;EC00024;EC00025;EC00026;EC00018;EC0001305;EC0001306;EC0001307;EC0001308;EC000607;EC000608;EC000609;EC000351;EC000352;EC000483;EC000484;EC000971;EC000972;EC000973;EC000168;EC0001479;EC0001617;EC0001197;EC0001198;EC0001199;EC0001452;EC0001514;EC000584;EC0001151;EC000126;EC000127;EC00051;EC000213;EC000214"
"O-Glycan biosynthesis","16","4","4","3.2808","1","1","1","100","1","1","1","1","P70","EC00044;EC00052;EC00030"
"Glycosphingolipid metabolism","67","21","21","42.651","1","1","1","100","1","1","1","1","P71","EC000442;EC000443;EC000444;EC000445;EC000446;EC000447;EC000448;EC00033;EC00034;EC00035;EC00030;EC000230;EC000231;EC000232;EC000283;EC000284;EC000285;EC00052;EC0001176;EC0001177;EC0001178;EC00031;EC00032;EC00062;EC00063;EC000136;EC000137;EC000560;EC0001274;EC0001275;EC0001276;EC000730;EC000731;EC000732;EC00053;EC00054;EC00055;EC00044;EC000829"
"Limonene and pinene degradation","10","6","6","8.7488","1","1","1","100","1","1","1","1","P72","EC000421;EC000422;EC000610;EC000611;EC000612;EC000613;EC000801;EC000802"
"Arginine and Proline Metabolism","45","26","26","83.114","1","1","1","100","1","1","1","1","P73","EC00023;EC00024;EC00025;EC00026;EC000151;EC000152;EC000153;EC000154;EC00027;EC00028;EC00029;EC00021;EC00022;EC00056;EC00057;EC000289;EC000290;EC000291;EC000882;EC000883;EC000884;EC000885;EC00036;EC00037;EC00038;EC000837;EC000838;EC000839;EC000840;EC000841;EC000842;EC000843;EC000645;EC000646;EC000886;EC00068;EC00069;EC00070;EC00071;EC000437;EC00017;EC000147;EC000148;EC000149;EC000150;EC000649;EC000650;EC000651;EC000743;EC000744;EC000745;EC000746;EC000747;EC000748;EC000749;EC000750;EC000360;EC000361;EC000362;EC000363;EC000364;EC000818;EC000819;EC00042;EC00043;EC00058;EC00059;EC00060;EC00061;EC00048;EC00049;EC00050;EC000335;EC000336;EC000337;EC000338"
"Proteoglycan biosynthesis","27","5","5","6.5616","1","1","1","100","1","1","1","1","P74","EC00044;EC000175;EC000176;EC00030;EC000203;EC000204"
"Vitamin K metabolism","3","2","2","2.1872","1","1","1","100","1","1","1","1","P75","EC0001148;EC0001149"
