"","identified_name","isomer","feature","feature_mode","feature_mz","feature_rt","library_mode","library_mz","library_rt","adduct","kegg_id","mz_error_ppm","rt_error_sec","rt_error_abs_sec","unique_match","MMD"
"175","Imidazolepropionic acid",NA,"HILIC_123.0553_147.4","HILIC",123.0553,147.4,"HILIC",123.055289,146.3,"M-H2O+H","C20522",0.0893907128254307,1.09999999999999,1.09999999999999,TRUE,""
"176","NICOTINATE",NA,"HILIC_124.0394_76.7","HILIC",124.0394,76.7,"HILIC",124.039276,66.034662,"M+H","C00253",0.999683358354727,10.665338,10.665338,TRUE,""
"177","L-HISTIDINOL",NA,"HILIC_124.0869_192.6","HILIC",124.0869,192.6,"HILIC",124.086912,203.162142,"M+H-H2O","C00860",-0.0967064116973482,-10.562142,10.562142,TRUE,""
"178","5-METHYLCYTOSINE HYDROCLORIDE",NA,"HILIC_126.0662_141.4","HILIC",126.0662,141.4,"HILIC",126.066176,137.266818,"M+H","C02376",0.190376203655525,4.133182,4.133182,TRUE,""
"179","1-Methylhistamine",NA,"HILIC_126.1026_182.1","HILIC",126.1026,182.1,"HILIC",126.102573,181.7,"M+H","C05127",0.21411141221262,0.400000000000006,0.400000000000006,TRUE,""
"180","6-Oxopiperidine-2-carboxylic acid",NA,"HILIC_127.039_49.1","HILIC",127.039,49.1,"HILIC",127.038971,49.4,"M+H-NH3",NA,0.228276408172704,-0.299999999999997,0.299999999999997,FALSE,""
"181","3-Hydroxy-3-methylglutarate",NA,"HILIC_127.039_49.1","HILIC",127.039,49.1,"HILIC",127.038421,49.4,"M+H-2H2O","C03761",4.55767629544044,-0.299999999999997,0.299999999999997,FALSE,""
"182","THYMINE","yes","HILIC_127.0502_147.4","HILIC",127.0502,147.4,"HILIC",127.050176,157.668372,"M+H","C00178",0.188901745484084,-10.268372,10.268372,FALSE,""
"183","4-IMIDAZOLEACETIC ACID","yes","HILIC_127.0502_147.4","HILIC",127.0502,147.4,"HILIC",127.050176,157.668372,"M+H","C02835",0.188901745484084,-10.268372,10.268372,FALSE,""
"184","Dihydrothymine",NA,"HILIC_129.0659_180.8","HILIC",129.0659,180.8,"HILIC",129.065854,179.7,"M+H","C00906",0.356407202772222,1.10000000000002,1.10000000000002,TRUE,""
"185","Ribothymidine",NA,"HILIC_130.0499_188.4","HILIC",130.0499,188.4,"HILIC",130.049869,186.9,"M+2H",NA,0.238370097912191,1.5,1.5,FALSE,""
"186","1,2,3-Propanetricarboxylic acid",NA,"HILIC_130.0499_188.4","HILIC",130.0499,188.4,"HILIC",130.049867,186.9,"M+2ACN+2H","C19806",0.253748817766558,1.5,1.5,FALSE,""
"187","QUINOLINE",NA,"HILIC_130.0652_61.3","HILIC",130.0652,61.3,"HILIC",130.065076,53.26578,"M+H","C06413",0.953368912032688,8.03422,8.03422,TRUE,""
"188","Propionylcarnitine",NA,"HILIC_130.0863_196.9","HILIC",130.0863,196.9,"HILIC",130.086254,200.3,"M+ACN+2H","C03017",0.353611535293714,-3.40000000000001,3.40000000000001,TRUE,""
"189","N-ACETYLPUTRESCINE",NA,"HILIC_131.118_155.8","HILIC",131.118,155.8,"HILIC",131.117876,145.63854,"M+H","C02714",0.945713916228851,10.16146,10.16146,TRUE,""
"190","chiro-Inositol",NA,"HILIC_132.0655_181.6","HILIC",132.0655,181.6,"HILIC",132.065517,184.1,"M+2ACN+2H","C19891",-0.12872398791217,-2.5,2.5,TRUE,""
"191","N-Methylhydantoin",NA,"HILIC_132.0767_178","HILIC",132.0767,178,"HILIC",132.076757,176.9,"M+NH4","C02565",-0.431567228730468,1.09999999999999,1.09999999999999,TRUE,""
"192","Isovalerylcarnitine",NA,"HILIC_132.1019_149.3","HILIC",132.1019,149.3,"HILIC",132.101907,151.7,"M+H+NH4",NA,-0.0529893940951845,-2.39999999999998,2.39999999999998,TRUE,""
"193","Hydrocinnamic acid",NA,"HILIC_133.0648_49.3","HILIC",133.0648,49.3,"HILIC",133.064791,49.4,"M-H2O+H","C05629",0.0676362237496558,-0.100000000000001,0.100000000000001,TRUE,""
"194","gamma-CEHC",NA,"HILIC_133.0752_120.6","HILIC",133.0752,120.6,"HILIC",133.075356,123.9,"M+2H",NA,-1.17226813959485,-3.30000000000001,3.30000000000001,TRUE,""
"195","HEXANOATE","yes","HILIC_134.1176_139.2","HILIC",134.1176,139.2,"HILIC",134.11753,111.570552,"M+NH4","C01585",0.521930280271482,27.629448,27.629448,FALSE,""
"196","TRANS-CYCLOHEXANE-1,2-DIOL","yes","HILIC_134.1176_139.2","HILIC",134.1176,139.2,"HILIC",134.11753,111.570552,"M+NH4","C03739",0.521930280271482,27.629448,27.629448,FALSE,""
